"","ID","fundBakers","fundUSDRate","fundUSDPledged","creator","city","state","isStaffpick","categoryParent","categoryChild","fundUSDGoal","fundLength","descriptionLength","hasVideo","amountFAQ","amountUpdates","amountComments","amountImages","amountGifs","amountVideos","amountRewards","lowestReward","url","name","blurb","fundState","fundGoal","fundPledged","country","fundCurrency","fundCurrencySymbol","fundEnd","fundStart"
"444",584924164,81,1,1797,"Undefined Knowledge","Brooklyn","NY",FALSE,"games","playing cards",500,14,415,TRUE,2,11,35,6,0,0,2,12,"https://www.kickstarter.com/projects/undefinedknowledge/stained-glass-playing-cards?ref=category","""Stained Glass"" Playing Cards","54-Card Deck of standard Playing Cards designed in a ""Stained Glass"" motif.",TRUE,500,1797,"US","USD","$",2014-08-05,2014-07-22
"448",595169418,63,1.24158053,2683.05552533,"Tefepa - Cards Dealer","Italia","Piedmont",FALSE,"games","playing cards",14898.96636,28,208,FALSE,0,2,0,18,1,0,10,1,"https://www.kickstarter.com/projects/272884163/circulus-bicycle-playing-cards-by-tefepa?ref=category","CIRCULUS - Bicycle® Limited Edition Playing Cards by Tefepa","A deck cards with stunning flat design!

ONLY 999 DECKS AVAILABLE!",FALSE,12000,2161,"IT","EUR","€",2018-03-21,2018-02-21
"449",595201478,131,1.05999014,4438.17871618,"Empire Arts","Tallinn","Harju County",FALSE,"games","playing cards",2649.97535,33,459,FALSE,0,15,9,21,0,0,11,10,"https://www.kickstarter.com/projects/320299580/gracia-playing-cards-gold-foil-printed-by-tmpc?ref=category","Gracia Playing Cards Gold Foil //","Limited edition luxury playing cards with gold foil, designed with attention to detail and printed in high quality playing card stock.",TRUE,2500,4187,"DE","EUR","€",2017-02-15,2017-01-13
"450",596718483,72,0.73538604,2259.84130092,"Robert Davis","Edmonton","AB",FALSE,"games","playing cards",5000.625072,30,594,TRUE,0,5,19,13,0,0,9,12,"https://www.kickstarter.com/projects/2128705801/nyx-reds-playing-cards?ref=category","Nyx Reds Playing Cards","Quality playing cards inspired by Night - printed by the USPCC",FALSE,6800,3073,"CA","CAD","$",2017-06-19,2017-05-20
"451",596767967,12,1,501,"Logan Montgomery Knight","Post Falls","ID",FALSE,"games","playing cards",500,15,542,TRUE,0,8,18,5,0,4,2,5,"https://www.kickstarter.com/projects/knightgames/eastwood-20-old-west-gunslingers?ref=category","Eastwood 20 Old West Gunslingers & Playing Cards","Limited 20 Copies! Now you can help us get the art we need for new games to come!",TRUE,500,501,"US","USD","$",2015-08-15,2015-07-31
"452",598020542,43,1,1334,"John Daniel Taylor IV","Washington","DC",FALSE,"games","playing cards",1100,27,598,FALSE,0,17,5,21,0,0,8,1,"https://www.kickstarter.com/projects/1582272995/the-strange-playing-card-set?ref=category","The Strange Playing Card Set","The set of 54 cards (52 suit cards + 2 Jokers) from The Strange are being offered again from Top Secret Press.",TRUE,1100,1334,"US","USD","$",2017-05-08,2017-04-11
"453",600563379,266,1,6956,"The Futurist Co.","Elgin","IL",FALSE,"games","playing cards",6000,30,324,FALSE,0,10,22,7,0,0,6,11,"https://www.kickstarter.com/projects/thefuturistco/the-bicycle-firecracker-playing-cards?ref=category","The Bicycle Firecracker Playing Cards","The Firecracker Playing Cards look like an actual pack of original firecrackers!",TRUE,6000,6956,"US","USD","$",2017-03-23,2017-02-21
"454",603099256,268,1,6046,"Collectable Playing Cards","Huntley","IL",FALSE,"games","playing cards",5000,30,340,FALSE,0,3,13,11,0,1,6,11,"https://www.kickstarter.com/projects/2104052526/bicycle-cinema-playing-cards?ref=category","Bicycle Cinema Playing Cards","See real live motion with The Bicycle Cinema Deck. Flip through the backs of the cards to view an old film countdown!",TRUE,5000,6046,"US","USD","$",2016-12-10,2016-11-10
"458",614433275,182,1,8325,"Ember Waves (UnTied States)","Phoenix","AZ",FALSE,"games","playing cards",8000,30,817,TRUE,0,7,27,33,0,3,12,9,"https://www.kickstarter.com/projects/1095850670/untied-states-house-of-cards-by-ember-waves-uspcc?ref=category","UnTied States ""House Of Cards"" by Ember Waves (USPCC)","The sequel to the ""Capitalists"" Playing Cards.  The ""House Of Cards"" deck is about the road to the White House for U.S. Presidents.",TRUE,8000,8325,"US","USD","$",2016-04-04,2016-03-05
"459",615323525,500,1,15838.5,"Soleil Zumbrunn","San Francisco","CA",FALSE,"games","playing cards",12000,32,1046,TRUE,1,28,78,32,1,1,17,1,"https://www.kickstarter.com/projects/457846685/glitch-playing-cards-printed-with-by-uspcc?ref=category","GLITCH Playing Cards printed with ♥ by USPCC","Extraordinary, minimalistic playing card deck that combines radicalism and classic design.",TRUE,12000,15838.5,"US","USD","$",2014-06-23,2014-05-22
"461",617742410,310,1,8147,"Roman Kotiv","Glendale","CA",FALSE,"games","playing cards",1000,14,579,FALSE,0,13,29,22,0,0,9,13,"https://www.kickstarter.com/projects/891191024/defunctorum-cruor-limited-edition-playing-cards?ref=category","Defunctorum Cruor Limited Edition Playing Cards","Defunctorum Cruor Limited deck is created by NoirArts. 54 amazing playing cards printed with red, golden & silver metallic inks",TRUE,1000,8147,"US","USD","$",2014-12-10,2014-11-26
"463",619332662,158,1.12888732,13762.26531812,"Cthulhu Project","Barcelona","Catalonia",TRUE,"games","playing cards",6773.32392,24,862,FALSE,0,23,43,12,1,0,6,24,"https://www.kickstarter.com/projects/cthulhuproject/the-writer-cthulhu-playing-cards?ref=category","The Writer - Cthulhu playing cards","Be the first player to complete the Mythos in a fun game with 110 cards for 2-4 players with handmade collector pieces.",TRUE,6000,12191,"ES","EUR","€",2015-07-05,2015-06-11
"464",619525047,9,1,207,"Katie McMurry","Silver Spring","MD",FALSE,"games","playing cards",3500,30,311,FALSE,0,0,0,2,0,0,2,16,"https://www.kickstarter.com/projects/1557302209/women-cards-a-fun-look-at-american-womens-history?ref=category","Woman Cards! A Fun Look at American Women's History","Play your favorite card games and learn more about American Women and the impact on United States History!",FALSE,3500,207,"US","USD","$",2016-05-31,2016-05-01
"465",620043662,48,1,1198,"Fancy King Playing Cards","Elkton","MD",FALSE,"games","playing cards",2500,30,293,TRUE,0,3,2,14,0,0,7,8,"https://www.kickstarter.com/projects/1477381911/fancy-king-essential-deck?ref=category","Fancy King Essential Deck","Simple... Bold... Fancy.",FALSE,2500,1198,"US","USD","$",2016-05-23,2016-04-23
"466",620465756,97,1,4988,"Andy Hopp","Green","OH",TRUE,"games","playing cards",1000,35,769,TRUE,1,13,33,28,0,0,22,1,"https://www.kickstarter.com/projects/1359565526/low-life-playing-cards?ref=category","Low Life Playing Cards","Whimsically illustrated playing cards by award-winning fantasy illustrator, author,  and game designer Andy Hopp.",TRUE,1000,4988,"US","USD","$",2015-05-05,2015-03-31
"468",621522285,13,1,436,"Jason M. Shepherd","Mendota","IL",FALSE,"games","playing cards",2500,48,336,TRUE,0,4,0,4,4,0,16,2,"https://www.kickstarter.com/projects/778947199/strain-wars-the-collage-deck-poker-playing-cards?ref=category","Strain Wars: The Collage Deck Poker Playing Cards","%100 cannabis themed deck featuring characters inspired by real strains of cannabis.",FALSE,2500,436,"US","USD","$",2018-04-22,2018-03-05
"469",622374706,257,1,13734,"Alberto Rodriguez","New York","NY",TRUE,"games","playing cards",13000,40,869,TRUE,0,20,22,23,0,6,10,10,"https://www.kickstarter.com/projects/364449167/daily-critter-playing-cards-pun-based-critters?ref=category","Daily Critter Playing cards","A deck of 54 illustrated puns! Every card was hand painted using water colors. Printed by the United States playing card company.",TRUE,13000,13734,"US","USD","$",2015-01-24,2014-12-15
"470",623493039,117,1.1339077,7806.9545145,"Anthony Chanut","France","Auvergne",FALSE,"games","playing cards",5669.5385,30,1045,FALSE,0,6,12,15,0,6,9,8,"https://www.kickstarter.com/projects/1246401304/handshields-playing-cards-modern-edition?ref=category","Handshields Playing Cards Modern Edition","Handshields Playing Cards are created to combine simplicity and elegance with a timeless design.",TRUE,5000,6885,"FR","EUR","€",2017-08-06,2017-07-07
"472",627276866,74,1,3680,"Jason Nguyen (deleted)","Los Angeles","CA",FALSE,"games","playing cards",16000,20,1245,FALSE,2,3,0,2,19,1,13,12,"https://www.kickstarter.com/projects/66142757/karat-limited-edition-playing-cards-3-decks-relaun?ref=category","Karat Limited Edition Playing Cards: 3 Decks //RELAUNCH//","These 3 luxury decks feels like they were carved out from a block of solid gold. Custom Simple Line Art Illustrations. Printed By LPCC",FALSE,16000,3680,"US","USD","$",2016-01-01,2015-12-12
"473",627643297,16,1.07514974,518.22217468,"Benjamin Fröhlich","Leibnitz","Styria",FALSE,"games","playing cards",3225.44922,30,357,FALSE,0,1,1,7,0,0,8,13,"https://www.kickstarter.com/projects/2009192488/trash-playing-cards?ref=category","Trash Playing Cards","Simple, hand-drawn high quality playing cards, designed by a young Austrian artist. Printed on the highest quality paper available.",FALSE,3000,482,"AT","EUR","€",2017-04-30,2017-03-31
"474",629306790,89,1,3528,"Tomas Leszczynski","New York","NY",FALSE,"games","playing cards",7500,30,642,FALSE,0,8,17,18,0,0,7,10,"https://www.kickstarter.com/projects/334995323/playing-cards-deconstructed-with-royal-pips?ref=category","Playing Cards Deconstructed with Royal Pips by USPCC","We take the elements of court cards and bring them into individual pips, which become Royal Pips.",FALSE,7500,3528,"US","USD","$",2014-06-15,2014-05-16
"475",629569175,430,1,21781,"Michael Scott","Mesa","AZ",FALSE,"games","playing cards",20000,30,633,FALSE,0,24,75,17,0,0,10,10,"https://www.kickstarter.com/projects/1500444958/1883-murphy-varnish-transformation-playing-cards-r?ref=category","1883 Murphy Varnish Transformation Playing Cards Restoration","Restoration of this beautiful iconic deck of Playing Cards, originally printed in 1883.",TRUE,20000,21781,"US","USD","$",2015-08-19,2015-07-20
"479",632776468,330,1,14651,"Collectable Playing Cards","Lexington","KY",FALSE,"games","playing cards",4000,30,302,FALSE,0,1,35,11,0,0,9,12,"https://www.kickstarter.com/projects/2104052526/bicycle-natural-disasters-blizzard-playing-cards?ref=category","Bicycle Natural Disasters ""Blizzard"" Playing Cards","Seventh Deck in a Seven Deck Natural Disaster Collector Series. GET THE ENTIRE SERIES HERE NOW!",TRUE,4000,14651,"US","USD","$",2017-06-11,2017-05-12
"482",635705990,259,1,9718,"Robert Jimenez","33026","FL",FALSE,"games","playing cards",7000,29,1131,TRUE,0,23,15,40,0,0,19,10,"https://www.kickstarter.com/projects/strangewise/tikilandia-playing-cards?ref=category","Tikilandia Playing Cards","A card deck featuring the Tiki art of Robert Jimenez and made by USPCC in the U.S.A.",TRUE,7000,9718,"US","USD","$",2018-04-03,2018-03-05
"486",640978189,185,1,4943,"Swabbed Decks","Richmond","VA",FALSE,"games","playing cards",2500,30,559,TRUE,0,6,16,8,0,0,6,1,"https://www.kickstarter.com/projects/swabbeddecks/the-halloween-deck-0?ref=category","The Halloween Deck","A deck of playing cards with a Halloween theme by award-winning Artist Stephen W. Brandt",TRUE,2500,4943,"US","USD","$",2018-07-29,2018-06-29
"488",641454182,14,1,724,"Bud S. Moker, Th.C.","Los Angeles","CA",FALSE,"games","playing cards",5000,30,597,TRUE,5,8,1,8,1,0,5,20,"https://www.kickstarter.com/projects/745101406/highjack?ref=category","Highjack! A Marijuana Card Game. For Cannabis & 420 fans.","This is a card game for people who are into: Cannabis, Munchies, Smoke Sessions, Playing Games and having WAY too much fun.",FALSE,5000,724,"US","USD","$",2015-05-06,2015-04-06
"489",641764530,211,1,6373,"Francis Garcia","San Francisco","CA",FALSE,"games","playing cards",5000,35,855,TRUE,0,22,5,7,4,2,16,1,"https://www.kickstarter.com/projects/frankdesumagic/sakura-playing-cards?ref=category","Sakura Playing Cards","Sakura Playing Cards the first Cherry Blossom themed Playing Cards! Perfect for any card enthusiast!",TRUE,5000,6373,"US","USD","$",2018-04-28,2018-03-24
"491",641912884,99,1,1991,"Warren Thackeray","Brooklyn","NY",FALSE,"games","playing cards",15000,45,470,TRUE,0,14,5,4,0,0,8,11,"https://www.kickstarter.com/projects/1117243090/bern-experiments-deck-roschach-inspired-playing-ca?ref=category","Bern Experiments Deck - Roschach Inspired Playing Cards","Limited Print Run Deck for The Psychological Illusionist, Mentalist, Collectors and Performers.",FALSE,15000,1991,"US","USD","$",2015-07-28,2015-06-13
"492",642490606,166,1,6624,"Will Roya","Henderson","NV",FALSE,"games","playing cards",5000,24,1171,TRUE,0,13,4,23,0,0,9,11,"https://www.kickstarter.com/projects/playingcarddecks/ancient-warriors-playing-cards-limited-edition-2-d?ref=category","Ancient Warriors Playing Cards - Limited Edition 2 Deck Set","Poker size playing cards printed by USPCC in the USA. 100% custom art work, limited edition print with liberal use of metallic inks.",TRUE,5000,6624,"US","USD","$",2018-05-21,2018-04-27
"494",647069286,81,1,2037,"JD FOURTEEN","Palisades Park","NJ",FALSE,"games","playing cards",1000,21,198,FALSE,0,3,10,4,0,0,5,8,"https://www.kickstarter.com/projects/1337203902/leo-deck-of-playing-cards?ref=category","Leo Deck of Playing Cards","Leo deck of playing cards. Inspired by Musical Lion King.",TRUE,1000,2037,"US","USD","$",2018-01-15,2017-12-25
"497",652564946,82,1,1536,"Alex Padilla Jr","Glenwood Springs","CO",FALSE,"games","playing cards",5000,56,1368,TRUE,8,15,28,24,2,1,10,7,"https://www.kickstarter.com/projects/389394345/pixels-bicycle-style-playing-cards-8-bit-retro?ref=category","PIXELS Playing Cards, SECOND DECK AVAILABLE NOW + DICE","""PIXELS"" Playing Cards for Video Game Enthusiasts! Collectors Art is based on modern 8 bit RPG s. Prepare for the nostalgia!",FALSE,5000,1536,"US","USD","$",2015-08-06,2015-06-11
"498",653487004,29,1.20351426,1357.56408528,"Max","Deutsch","Saxony-Anhalt",FALSE,"games","playing cards",3610.54278,45,52,FALSE,3,8,3,1,0,0,11,1,"https://www.kickstarter.com/projects/278256468/i-play-dead-celebrities-the-card-game?ref=category","I play dead Celebrities - the Card Game","A card game with dead celebrities and a lot of causes. Black humor guaranteed.",FALSE,3000,1128,"DE","EUR","€",2017-10-26,2017-09-11
"499",654261616,425,1,10108,"Cellar Window","Queens","NY",FALSE,"games","playing cards",8000,45,584,FALSE,0,4,117,18,0,0,16,1,"https://www.kickstarter.com/projects/1445131985/don-quixote-vol2-rocinante-playing-cards?ref=category","Don Quixote Vol.2 - Rocinante Playing Cards","Playing cards inspired by the second novel of The Ingenious Gentleman Don Quixote of La Mancha.",TRUE,8000,10108,"US","USD","$",2017-10-07,2017-08-23
"501",655048619,164,1,6662,"Brain Vessel Creative","Mechanicsburg","PA",FALSE,"games","playing cards",8000,30,742,TRUE,0,2,7,23,0,1,6,15,"https://www.kickstarter.com/projects/glummies/mardi-gras-edition-masquerade-playing-cards?ref=category","Mardi Gras Edition Masquerade Playing cards","Masquerade Mardi Gras Edition playing cards by artist Denyse Klette. Brain Vessel's Artist Series Playing Cards. Printed by the USPCC.",FALSE,8000,6662,"US","USD","$",2018-07-30,2018-06-30
"503",656256723,107,1.52296479,2304.24572727,"Olly Swinyard","Falmouth","England",FALSE,"games","playing cards",9137.78874,30,562,FALSE,0,2,5,15,0,0,8,5,"https://www.kickstarter.com/projects/1058172409/contours-custom-designed-deck-of-playing-cards?ref=category","CONTOURS - Custom Designed Deck of Playing Cards","Custom deck of playing cards uniquely designed from front to back.",FALSE,6000,1513,"GB","GBP","£",2015-12-13,2015-11-13
"505",657319940,133,1,2961,"Charles Epting","Los Angeles","CA",FALSE,"games","playing cards",750,30,487,FALSE,0,2,18,5,0,0,6,8,"https://www.kickstarter.com/projects/102971390/reproduction-1916-silent-film-playing-cards?ref=category","Reproduction 1916 Silent Film Playing Cards","Silent Film Quarterly is looking to reproduce the M.J. Moriarty series of silent film star playing cards from 1916!",TRUE,750,2961,"US","USD","$",2016-01-11,2015-12-12
"506",658197715,60,1.3189828,1465.534978908,"Zing Playing Cards","Devon","England",FALSE,"games","playing cards",6594.914,30,686,TRUE,0,2,0,22,0,0,10,1,"https://www.kickstarter.com/projects/1043251142/wild-vibe-jungle-geometric-animal-playing-cards?ref=category","Wild Vibe: Jungle - Geometric Animal Playing Cards","Beautifully designed playing cards inspired by the jungle and drawn in a geometric style. Printed by the USPCC.",FALSE,5000,1111.11,"GB","GBP","£",2017-12-13,2017-11-13
"508",663945916,75,1,7053,"Dog Might Games","Pinckney","MI",FALSE,"games","playing cards",100,33,1139,TRUE,0,6,49,9,0,0,10,1,"https://www.kickstarter.com/projects/dogmight/the-deck-jacket-a-high-quality-wooden-card-holder?ref=category","The Deck Jacket - A High Quality Wooden Card Holder","A beautifully designed customizable wooden case to protect your playing cards. Doubles as a dealing and discard tray.",TRUE,100,7053,"US","USD","$",2016-10-23,2016-09-20
"510",665875926,5,1,500,"Lisa Whalen & Stephen Koehler","Orleans","MA",FALSE,"games","playing cards",20000,30,489,TRUE,0,1,0,0,0,0,5,25,"https://www.kickstarter.com/projects/flip-poker/flip-poker-card-game-easy-to-learn-fun-to-play?ref=category","FLIP-POKER Card Game! Easy to Learn! Fun to Play!","FLIP-POKER is a super new card game for 2-6 players ages 8-100! MATCH your cards to Match Card poker hands, BANK the points then FLIP!",FALSE,20000,500,"US","USD","$",2015-04-22,2015-03-23
"511",666083262,169,1,4192,"Collectable Playing Cards","Lexington","KY",FALSE,"games","playing cards",2000,30,308,FALSE,0,2,3,6,0,0,5,14,"https://www.kickstarter.com/projects/2104052526/bicycle-four-seasons-limited-edition-winter-playin?ref=category","Bicycle Four Seasons Limited Edition (Winter) Playing Cards","Enjoy all the seasons all year long with Bicycle Four Seasons Playing Cards",TRUE,2000,4192,"US","USD","$",2017-11-01,2017-10-02
"512",666464652,261,1,10817,"Paul Ruccio","Agawam","MA",FALSE,"games","playing cards",8000,29,1899,FALSE,0,27,48,6,0,0,14,9,"https://www.kickstarter.com/projects/paulruccio/jetsetter-playing-cards-premier-edition-in-altitud?ref=category","Jetsetter Playing Cards: Premier Edition in Altitude Blue","Classically inspired deck of playing cards for the aviation, travel, and playing card enthusiast. Printed by EPCC.",TRUE,8000,10817,"US","USD","$",2016-04-27,2016-03-29
"513",668032618,244,1,6011,"Nick Pace","Tempe","AZ",FALSE,"games","playing cards",2000,45,906,FALSE,0,18,64,17,0,0,6,2,"https://www.kickstarter.com/projects/136088207/pirate-carrds?ref=category","Pirate cARRds","We want to create a deck of Pirate themed Playing Cards, utilizing artwork by Don Maitz (creator of Captain Morgan Spiced Rum logo).",TRUE,2000,6011,"US","USD","$",2014-09-14,2014-07-31
"515",672269668,58,1,1887,"KC Tobey","Provo","UT",FALSE,"games","playing cards",1500,20,530,TRUE,0,7,10,17,0,0,7,16,"https://www.kickstarter.com/projects/tobeytown/tobeytown-chess-playing-cards?ref=category","Tobeytown Chess Playing Cards","It's a deck of custom playing cards! It's a chess set! Hot dang!",TRUE,1500,1887,"US","USD","$",2017-11-29,2017-11-09
"516",672713638,351,1,11168,"Bona Fide Playing Cards","Barcelona","Catalonia",FALSE,"games","playing cards",15000,39,1048,FALSE,0,11,57,26,0,0,24,1,"https://www.kickstarter.com/projects/cardlauncher/nouveau-playing-cards?ref=category","NOUVEAU Playing Cards","Discover the original heroes of the first 16c French decks in this custom ART NOUVEAU inspired Deck",FALSE,15000,11168,"US","USD","$",2015-04-30,2015-03-22
"517",673493141,397,1,12007,"Dave Edgerly","Austin","TX",FALSE,"games","playing cards",7500,35,564,FALSE,0,19,103,15,0,1,7,10,"https://www.kickstarter.com/projects/138921142/mardi-gras-playing-cards?ref=category","Mardi Gras Playing Cards","A custom deck of playing cards inspired by the celebration of Mardi Gras and printed by the EPCC.",TRUE,7500,12007,"US","USD","$",2015-02-18,2015-01-14
"519",679846677,16,1.08593904,470.21160432,"David Pocha","Milan","Lombardy",FALSE,"games","playing cards",6515.63424,30,437,FALSE,0,0,2,10,0,0,11,8,"https://www.kickstarter.com/projects/1860431323/dp-playing-cards?ref=category","dp Playing Card unique deck, for cardists and Magicians","Premium deck of Playing Cards for cardists, magicians and card collectors. Printed by LPCC. Best quality! Cool design!",FALSE,6000,433,"IT","EUR","€",2016-02-03,2016-01-04
"520",682840385,74,1.21834882,2203.99301538,"Rajeev Mongia","London","England",FALSE,"games","playing cards",17056.88348,30,758,TRUE,0,5,2,25,0,0,22,6,"https://www.kickstarter.com/projects/1537404046/millennium-playing-cards?ref=category","Millennium playing cards","A new fully custom deck of luxury playing cards ideal for magicians, cardists and playing cards enthusiasts.",FALSE,14000,1809,"GB","GBP","£",2016-12-01,2016-11-01
"523",688924624,1042,1,29305,"Collectable Playing Cards","Huntley","IL",FALSE,"games","playing cards",7500,40,571,FALSE,0,15,131,26,1,0,14,10,"https://www.kickstarter.com/projects/2104052526/bicycle-metal-rider-back-playing-cards-by-max?ref=category","Bicycle METAL RIDER BACK Playing Cards by Max","The METAL DECK is the very first deck on a series called TEXTURE SERIES by Max (Max Playing Cards)",TRUE,7500,29305,"US","USD","$",2014-11-10,2014-10-01
"525",693155501,153,1,4530,"Eighty Eight Industry","Seattle","WA",FALSE,"games","playing cards",4000,50,587,TRUE,0,13,6,18,0,0,5,12,"https://www.kickstarter.com/projects/1864260289/air-squadron-playing-cards?ref=category","Air Squadron Bicycle Playing Cards","Playing cards inspired by modern jets and aircraft. Printed by the United States Playing Card Company.",TRUE,4000,4530,"US","USD","$",2017-06-03,2017-04-14
"527",693956657,136,1,4909,"Maven Playing Cards","El Cajon","CA",FALSE,"games","playing cards",12000,35,1576,FALSE,0,14,18,13,0,1,20,10,"https://www.kickstarter.com/projects/336695519/duality-a-new-deck-of-cards-from-maven-playing-car?ref=category","Duality, A Handmade Deck of Cards printed by the E.P.C.C.","A new deck created using 14th century fine art techniques.",FALSE,12000,4909,"US","USD","$",2015-01-16,2014-12-12
"529",695162689,18,0.91025687,752.78243149,"Martin Lichtbrun","North Toronto","ON",FALSE,"games","playing cards",16384.62366,60,603,TRUE,0,0,2,4,0,0,9,10,"https://www.kickstarter.com/projects/1692205292/snapdeck-shuffle-faster-deal-faster-play-anywhere?ref=category","SnapDeck!  Shuffle faster, deal faster, play anywhere.","SnapDeck is the better way to play cards where everyone can shuffle and deal fast!!!

Place the pieces into the bag and punch it :-)",FALSE,18000,827,"CA","CAD","$",2014-06-16,2014-04-17
"530",695290466,292,1,8034,"Nejc Sušec","Ljubljana","Ljubljana",FALSE,"games","playing cards",5000,30,1022,TRUE,0,6,15,19,9,0,16,1,"https://www.kickstarter.com/projects/1502397728/shodou-deck-calligraphy-playing-cards?ref=category","Shodou deck - Calligraphy playing cards","The Shodou deck is a set of playing cards, inspired by Japanese calligraphy.",TRUE,5000,8034,"US","USD","$",2018-03-02,2018-01-31
"532",700397850,277,1.31329077,11181.35761578,"Tony Porteous","London","England",FALSE,"games","playing cards",4071.201387,30,1761,TRUE,3,19,48,13,0,0,12,3,"https://www.kickstarter.com/projects/glorioussoup/the-journey-deck-empire-playing-cards?ref=category","The Journey Deck - Empire Playing Cards","A unique set of medieval playing and divination cards designed for the Empire LRP Universe, including a Tarot Arcana.",TRUE,3100,8514,"GB","GBP","£",2017-10-09,2017-09-09
"533",701060610,167,0.77058581,3838.28791961,"Ominous Midnight Gatherings","Vancouver","BC",FALSE,"games","playing cards",2928.226078,32,595,FALSE,0,10,45,8,2,0,11,1,"https://www.kickstarter.com/projects/gunsta/eeries-playing-cards?ref=category","EERIES Playing Cards","Mischievious with a smidge of eeriness, let this trio accompany you on your playdates. Printed by Liberty Playing Cards.",TRUE,3800,4981,"CA","CAD","$",2016-10-08,2016-09-06
"534",702673333,117,1,3907,"DPH Games Inc","Corning","NY",FALSE,"games","playing cards",1000,30,1227,TRUE,0,18,15,14,2,3,6,1,"https://www.kickstarter.com/projects/dphgames/cats-a-sad-but-necessary-cycle-of-violent-predator?ref=category","CATS a sad but necessary cycle of violent predatory behavior","Play a cat in this card game where you try to catch, steal and eat birds. Yeah, the other players, they're cats too.",TRUE,1000,3907,"US","USD","$",2016-02-01,2016-01-02
"536",707496925,23,1,821,"Andrew Wethington","Lexington","KY",FALSE,"games","playing cards",10000,30,518,FALSE,0,1,0,13,1,0,8,25,"https://www.kickstarter.com/projects/421creations/pride-playing-cards-gilded-playing-cards-printed-b?ref=category","Pride Playing Cards: Gilded Playing Cards Printed By USPCC","A deck of playing cards printed by the USPCC to celebrate the LGTB+ Community and all brave individuals who take Pride in who they are.",FALSE,10000,821,"US","USD","$",2017-07-29,2017-06-29
"538",707844170,594,1,17604,"LUX Playing Cards","Fort Worth","TX",TRUE,"games","playing cards",10000,31,945,TRUE,0,20,106,19,0,0,12,10,"https://www.kickstarter.com/projects/luxplayingcards/illusionist-deck-bicycle-playing-cards-magician-in?ref=category","Illusionist Deck: Bicycle Playing Cards, Magician inspired","The Illusionist deck is a custom Bicycle branded deck of playing cards, inspired by Magicians and Cardists, and printed by USPCC.",TRUE,10000,17604,"US","USD","$",2014-05-12,2014-04-11
"541",709652823,29,1,657,"John Daniel Taylor IV","Washington","DC",FALSE,"games","playing cards",500,25,1199,FALSE,0,28,1,21,0,0,5,1,"https://www.kickstarter.com/projects/1582272995/the-strange-1st-anniversary-playing-card-set?ref=category","The Strange 1st Anniversary Playing Card Set","Thanks for making the 1st Anniversary The Strange #1 Playing Cards by Top Secret Press possible!",TRUE,500,657,"US","USD","$",2015-07-18,2015-06-23
"546",722035830,98,1.2258823,6394.2020768,"Spielkartenshop","Altenglan","Rhineland-Palatinate",FALSE,"games","playing cards",5297.0374183,30,732,TRUE,0,7,2,10,0,0,13,1,"https://www.kickstarter.com/projects/spielkartenshop/hypnotik-playing-cards?ref=category","HYPNOTIK Playing Cards","Spielkartenshop.com is happy to introduce the HYPNOTIK Playing Cards. 
Produced by Sven Philipp - www.spielkartenshop.com",TRUE,4321,5216,"DE","EUR","€",2018-03-11,2018-02-09
"547",722967096,475,0.71523544,18585.965096752,"Elephant Playing Cards","Sydney","NSW",FALSE,"games","playing cards",14304.7088,28,1543,TRUE,0,30,62,43,4,0,11,2,"https://www.kickstarter.com/projects/585926215/pipmen-playing-cards-relaunch?ref=category","Pipmen Playing Cards (Relaunch)","A creatively unique deck of playful poker-sized playing cards that is unlike anything you have ever seen!",TRUE,20000,25985.8,"AU","AUD","$",2016-03-15,2016-02-16
"548",724891468,44,1,1656,"Jason Nguyen","West Covina","CA",FALSE,"games","playing cards",2000,11,145,FALSE,0,5,10,0,5,0,7,16,"https://www.kickstarter.com/projects/jasonnguyendesigns/foil-playing-cards-crimson-red-and-emerald-green?ref=category","Foil Playing Cards - Crimson Red & Emerald Green","Complete your collection of Foil Playing Cards with these two complementary decks. Printed by MPC. Produced by Jason Nguyen Designs.",FALSE,2000,1656,"US","USD","$",2016-07-18,2016-07-07
"549",724922550,65,1,3627,"Jeff","Salt Lake City","UT",FALSE,"games","playing cards",8500,20,209,FALSE,0,2,0,15,0,0,5,10,"https://www.kickstarter.com/projects/2117858045/magnificent-playing-cards-releaunch?ref=category","Magnificent Playing Cards Relaunch printed by USPCC","Printed by USPCC on the finest card stock with metallic ink, embossed tucks with hot foil stamping, for a timeless luxury look & feel.",FALSE,8500,3627,"US","USD","$",2017-01-26,2017-01-06
"556",732031446,267,0.73845972,8016.9550274304,"Project Shuffle","Melbourne","VIC",FALSE,"games","playing cards",4932.9109296,30,1825,TRUE,0,7,10,22,0,3,11,16,"https://www.kickstarter.com/projects/projectshuffle/proj-subtle-playing-cards?ref=category","Proj. Subtle Playing Cards","A completely custom, and modern deck of playing cards designed from scratch for cardistry.",TRUE,6680,10856.32,"AU","AUD","$",2018-08-06,2018-07-07
"557",732490758,149,0.7235267,3156.0234654,"Manoj Kaushal","Adelaide","SA",FALSE,"games","playing cards",6873.50365,30,732,TRUE,0,4,14,26,0,0,24,13,"https://www.kickstarter.com/projects/9780cards/jaguar-playing-cards-black-edition?ref=category","Jaguar Playing Cards // Black Edition","A sleek-minimalist-bold deck that is inspired by what the beast represents.",FALSE,9500,4362,"AU","AUD","$",2016-07-03,2016-06-03
